image,caption
102455176_5f8ead62d5.jpg,한 남자가 얼음 덩어리와 크램폰을 사용하여 얼음을 스케일링합니다.
102455176_5f8ead62d5.jpg,파란색 재킷과 검은 색 바지를 입은 얼음 등반가가 얼어 붙은 얼음 벽을 스케일링하고 있습니다.
102455176_5f8ead62d5.jpg,얼어 붙은 폭포를 오르는 얼음 등반가.
102455176_5f8ead62d5.jpg,파란색과 빨간색 빙벽 등반을하고있는 사람이 두 가지 선택을합니다.
102455176_5f8ead62d5.jpg,얼음 벽을 등반하는 산악인
1026685415_0431cbf574.jpg,검은 색 개가 잔디 속을 걸을 때 입에 녹색 장난감을 들고 있습니다.
1026685415_0431cbf574.jpg,잔디를 통해 뭔가를 들고 검은 개.
1026685415_0431cbf574.jpg,검은 개는 입에 파란색 장난감이 있습니다.
1026685415_0431cbf574.jpg,그의 입에 파란 항목을 가진 풀밭에있는 개.
1026685415_0431cbf574.jpg,젖은 검은 개가 풀을 통해 녹색 장난감을 들고 있습니다.
1028205764_7e8df9a2ea.jpg,한 남자와 아기가 물 위의 노란색 카약을 타고 있습니다.
1028205764_7e8df9a2ea.jpg,파란색 구명 조끼를 입은 남자와 어린 소년이 노란색 카누를 젓고 있습니다.
1028205764_7e8df9a2ea.jpg,잔잔한 물을 통해 남자와 어린이 카약.
1028205764_7e8df9a2ea.jpg,한 남자와 어린 소년이 노란색 카약을 탄다.
1028205764_7e8df9a2ea.jpg,노란색 카약 남자와 아이
1030985833_b0902ea560.jpg,검은 개와 갈색 개가 빨간색 장난감을 잡기 위해 뛰어 오르고 있습니다.
1030985833_b0902ea560.jpg,검은 개와 갈색 개가 안뜰에서 빨간색 장난감을 가지고 놀아요.
1030985833_b0902ea560.jpg,갈색과 검은 색 실험실이 밖에 있고 검은 색 실험실이 입에서 장난감을 잡고 있습니다.
1030985833_b0902ea560.jpg,갈색 개가 돌진 할 때 검은 개가 빨간색과 검은 색 물체에 스냅합니다.
1030985833_b0902ea560.jpg,Black Lab이 진입로에서 장난감을 포착함에 따라 Chocolate Lab은 장난감을 얻기에는 너무 늦게 뛰어 오릅니다.
103106960_e8a41d64f8.jpg,골키퍼 그물 앞에 무릎을 꿇고 막대기를 가진 소년
103106960_e8a41d64f8.jpg,목표를 지키는 거리 하키를 재생하는 빨간 재킷에 아이.
103106960_e8a41d64f8.jpg,하키 링크에서 골키퍼를 재생하는 어린 아이.
103106960_e8a41d64f8.jpg,그의 오른손에 하키 막대기로 하키 목표 앞에 무릎을 꿇고 젊은 남성.
103106960_e8a41d64f8.jpg, 빨간색 재킷을 입은 하키 골키퍼 소년이 골로 웅크립니다.
103195344_5d2dc613a3.jpg,검은 옷을 입은 한 남자가 유리 건물 앞의 현대 미술 구조물 옆에 앉아 있습니다.
103195344_5d2dc613a3.jpg,한 남자가 사무실 건물 밖에서 조각품 옆에 앉아 신문을 읽는다.
103195344_5d2dc613a3.jpg,한 남자가 큰 동상 근처에 앉아있다.
103195344_5d2dc613a3.jpg,건물 앞의 금속 조각 앞에 앉아있는 남자.
103195344_5d2dc613a3.jpg,책가방을 든 남자는 건물 안뜰에 앉아 미술 조각품 독서를하고있다.
103205630_682ca7285b.jpg,얼음 위에 텐트를 설치하고 있습니다.
103205630_682ca7285b.jpg,두 사람이 눈 덮힌 호수에 얼음 낚시 텐트에 들어 가려고합니다.
103205630_682ca7285b.jpg,호수 위에 얼음에 푸른 얼음 낚시 오두막을 설정하는 두 남자
103205630_682ca7285b.jpg, 두 남자
103205630_682ca7285b.jpg,눈 덮인 표면에 파란색 텐트 구조 밖에 서있는 두 사람.
1032122270_ea6f0beedb.jpg,한 여자가 들판에있는 개 세 마리 근처에서 웅크 리고있다.
1032122270_ea6f0beedb.jpg,세 개는 푸른 하늘과 잔디 언덕에서 놀고 있습니다.
1032122270_ea6f0beedb.jpg,세 마리의 개가 풀밭에 서 있고 사람이 옆에 앉아 있습니다.
1032122270_ea6f0beedb.jpg,잔디 언덕에 세 개
1032122270_ea6f0beedb.jpg,한 사람이 근처에 무릎을 꿇고있는 동안 세 마리의 개가 잔디밭에 서 있습니다.
1032460886_4a598ed535.jpg,한 남자가 마천루 앞에 서있다
1032460886_4a598ed535.jpg,한 남자가 마천루 앞에 선다.
1032460886_4a598ed535.jpg,한 남자가 매우 높은 건물 앞에 서 있습니다.
1032460886_4a598ed535.jpg,빨간 셔츠를 입은 남자 뒤에는 커다란 마천루가 서 있습니다.
1032460886_4a598ed535.jpg,저 멀리 고층 빌딩이 카메라 앞에서 한 남자가 걷고있다.
1034276567_49bb87c51c.jpg,소년은 밖에 앉아있는 동안 간식을 열심히 물었습니다.
1034276567_49bb87c51c.jpg,구운 제품에 물고 아이.
1034276567_49bb87c51c.jpg,양손으로 입에 무언가를 넣는 작은 소년.
1034276567_49bb87c51c.jpg,소년은 테이블에서 밖에서 음식을 먹습니다.
1034276567_49bb87c51c.jpg,소년은 주석 접시 위에 피자를 먹고 있습니다.
104136873_5b5d41be75.jpg,사람들은 산 중턱에 앉아 경치를 확인합니다.
104136873_5b5d41be75.jpg,녹색 계곡이 내려다 보이는 언덕 위에 세 사람이 있습니다.
104136873_5b5d41be75.jpg,세 사람은 큰 언덕 위에 서있다.
104136873_5b5d41be75.jpg,세 사람이 녹색 계곡을 내려다보고 있습니다.
104136873_5b5d41be75.jpg,세 명이 산 위의 난간에 쉰다.
1042020065_fb3d3ba5ba.jpg,녹색 셔츠를 입은 소년이 많은 풍선 보트를 내려다보고 있습니다.
1042020065_fb3d3ba5ba.jpg,녹색 셔츠를 입은 소년이 카약을 봅니다.
1042020065_fb3d3ba5ba.jpg,한 소년이 물속에있는 많은 배와 뗏목에서 난간을 바라 봅니다.
1042020065_fb3d3ba5ba.jpg,풍선 보트의 군중이 내려다 보이는 어린 소년.
1042020065_fb3d3ba5ba.jpg,저지를 입은 어린 소년이 물속에있는 많은 배에서 난간 너머를 내려다보고 있습니다.
1042590306_95dea0916c.jpg,다른 남자가 바라 보는 동안 남자와 여자가 ​​카메라를 위해 포즈를 취합니다.
1042590306_95dea0916c.jpg,한 남자가 다른 남자가 바라 보는 동안 어떤 건물 앞에서 여자의 손을 입까지 잡고있다.
1042590306_95dea0916c.jpg,사진을 위해 포즈를 취하는 다민족 커플
1042590306_95dea0916c.jpg, 아시아 남자와 야외에서 손을 잡고 금발 여자
1042590306_95dea0916c.jpg,파란색 셔츠를 입은 남자가 다른 남자가 시계를 보는 동안 검은 줄무늬 재킷을 입은 여자의 손을 물고
1045521051_108ebc19be.jpg,작은 텔레비전을 보면서 테이크 아웃을하는 사람.
1045521051_108ebc19be.jpg,한 사람이 바닥에 앉아 텔레비전 앞에서 식사를합니다.
1045521051_108ebc19be.jpg,소녀 사진이있는 텔레비전.
1045521051_108ebc19be.jpg,한 청년이 TV 옆 바닥에 앉아 패스트 푸드 식사를하고있다.
1045521051_108ebc19be.jpg,누군가 음식을 먹고 TV 앞에 누워 있습니다.
1048710776_bb5b0a5c7c.jpg,몇 사람이 해변이 내려다 보이는 난간에 앉아
1048710776_bb5b0a5c7c.jpg,한 무리의 사람들이 해변 벽에 앉아 있습니다.
1048710776_bb5b0a5c7c.jpg,청소년 그룹은 해변 옆 벽에 앉아 있습니다.
1048710776_bb5b0a5c7c.jpg,해변에서 사람들의 군중입니다.
1048710776_bb5b0a5c7c.jpg,붐비는 해변 위의 레일에 앉아 여러 젊은 사람들.
1052358063_eae6744153.jpg,스케이트 보드를 탄 다른 소년이 지켜 보는 동안 한 소년이 스케이트 보드에서 점프를합니다.
1052358063_eae6744153.jpg,한 어린이가 스케이트 보드 트릭을 수행하고 있고 다른 어린이는 스케이트 보드를 들고 벽에 기대고 있습니다.
1052358063_eae6744153.jpg,어린 소년 스케이트 보더는 다른 젊은 스케이트 보더가 지켜 보는 동안 자신의 보드에서 트릭을하고 있습니다.
1052358063_eae6744153.jpg,스케이트 보드에 플랫폼에서 점프 어린 소년 스케이트 보더.
1052358063_eae6744153.jpg,두 명의 스케이트 보더.
105342180_4d4a40b47f.jpg, 큰 강에서 노를 젓는 소녀
105342180_4d4a40b47f.jpg,강을 따라 카약을 타는 여자.
105342180_4d4a40b47f.jpg,한 여자가 강을 따라 보트를 젓는다.
105342180_4d4a40b47f.jpg,외륜을 가진 여자.
105342180_4d4a40b47f.jpg,외륜을 가진 여자는 물 위의 배에 앉는다.
1053804096_ad278b25f1.jpg,땋은 머리에있는 소녀는 얕은 물에서 밝아진.
1053804096_ad278b25f1.jpg,여자들이 서핑을합니다.
1053804096_ad278b25f1.jpg,땋은 머리를 가진 소녀가 해변가에서 놀고있다.
1053804096_ad278b25f1.jpg,땋은 머리를 가진 소녀가 물에서 활약합니다.
1053804096_ad278b25f1.jpg,땋은 머리에있는 어린 소녀가 물에서 활약합니다.
1055623002_8195a43714.jpg,잠옷을 입은 네 명의 아이들이 베개 싸움을한다.
1055623002_8195a43714.jpg,한 무리의 아이들이 베개 싸움을합니다.
1055623002_8195a43714.jpg,침대에 베개 싸움을 재생하는 어린 아이들의 그룹.
1055623002_8195a43714.jpg,베개 싸움을하는 아이들.
1055623002_8195a43714.jpg,네 명의 아이들이 베개 싸움을하고 있습니다.
1055753357_4fa3d8d693.jpg,두 명의 건설 작업자가 휴식을 취하는 빔에 앉아 있습니다.
1055753357_4fa3d8d693.jpg,두 명의 건설 노동자가 건물 옆에 앉아 있습니다.
1055753357_4fa3d8d693.jpg,I- 빔에 앉아 두 건설 노동자.
1055753357_4fa3d8d693.jpg,두 명의 건설 노동자가 강철 빔에 앉는다.
1055753357_4fa3d8d693.jpg,두 사람이 공사에서 휴식을 취합니다.
1056249424_ef2a2e041c.jpg,아이들이 물에서 놀고 있어요.
1056249424_ef2a2e041c.jpg, 두 소년
1056249424_ef2a2e041c.jpg,두 소년은 웅덩이에서 놀아요.
1056249424_ef2a2e041c.jpg,화창한 날에 두 아이가 진흙 속에 풍선을 가지고 놀아요.
1056249424_ef2a2e041c.jpg,두 아이가 물놀이를하고있다.
1056338697_4f7d7ce270.jpg,파란 셔츠를 입은 금발 여성이 타고 기다리는 것처럼 보입니다.
1056338697_4f7d7ce270.jpg,금발 여자가 길거리에서 택시를 부르고있다.
1056338697_4f7d7ce270.jpg, 여자가 신호를 보내는 것은
1056338697_4f7d7ce270.jpg,파란색 튜브 탑을 입은 금발 머리의 여인이 길가에서 손을 흔들고있다.
1056338697_4f7d7ce270.jpg,파란 드레스를 입은 여자가 다가오는 차에 팔을 내밀고있다.
1056359656_662cee0814.jpg,기차 타기에 브로셔를보고 어린 소녀
1056359656_662cee0814.jpg,그녀의 손에 잡지와 젊은 금발 소녀
1056359656_662cee0814.jpg,기차에서 어린 소녀가 기차 타기에 관한 책을 읽습니다.
1056359656_662cee0814.jpg,어린 소녀가 좌석에 앉아 기차 팸플릿을보고 있습니다.
1056359656_662cee0814.jpg,기차를 타고 안내 책자를보고 앉아 아이
1056873310_49c665eb22.jpg,갈색 개가 바위 해안에서 검은 개를 쫓고 있습니다.
1056873310_49c665eb22.jpg,갈색 개가 검은 개를 쫓고 있습니다.
1056873310_49c665eb22.jpg,해변에서 노는 두 개.
1056873310_49c665eb22.jpg,두 마리의 개가 물 근처의 돌을 가로 질러 뛰어갑니다.
1056873310_49c665eb22.jpg,두 마리의 개가 물을 배경으로 바위가 많은 지역에서 서로를 향해 달려갑니다.
1057089366_ca83da0877.jpg,한 소년이 높은 다이빙 보드의 끝에서 내려옵니다.
1057089366_ca83da0877.jpg,어린이가 높은 다이빙 보드에서 수영장으로 뛰어 내립니다.
1057089366_ca83da0877.jpg,한 아이가 다이빙 보드에서 뛰어 내려 아래의 수영장으로 들어갑니다.
1057089366_ca83da0877.jpg,어린 아이가 수영장에서 높은 다이빙에서 뛰어 내리고 있습니다.
1057089366_ca83da0877.jpg,소년은 높은 다이빙 보드에서 수영장으로 뛰어 내립니다.
1057210460_09c6f4c6c1.jpg,한 남자가 겉옷을 벗고 창가에 서있다.
1057210460_09c6f4c6c1.jpg,탱크 탑에있는 남자가 크롬 문 옆에 서 있습니다.
1057210460_09c6f4c6c1.jpg,한 남자가 엘리베이터 근처에서 셔츠를 입고있다.
1057210460_09c6f4c6c1.jpg,한 남자가 고개를 숙이고 엘리베이터 옆에 서있다.
1057210460_09c6f4c6c1.jpg,남자는 엘리베이터 근처에서 셔츠를 입고있다.
1057251835_6ded4ada9c.jpg,밝은 색의 개가 해변에서 뛰고 있습니다.
1057251835_6ded4ada9c.jpg,작은 노란색 개가 해변에서 실행
1057251835_6ded4ada9c.jpg,황갈색 개는 모래 해변에서 실행됩니다.
1057251835_6ded4ada9c.jpg,흰 개가 바위 해변을 달리고 있습니다.
1057251835_6ded4ada9c.jpg,해변을 따라 달리는 밝은 갈색 개.
106490881_5a2dd9b7bd.jpg,해변에서 그의 파란 수영 반바지 입은 소년.
106490881_5a2dd9b7bd.jpg,소년은 해변에서 카메라를 위해 미소 짓는다.
106490881_5a2dd9b7bd.jpg,수영복을 입은 어린 소년이 해변에서 팔을 뻗은 채 걷고있다.
106490881_5a2dd9b7bd.jpg,해변에서 노는 아이들.
106490881_5a2dd9b7bd.jpg,소년은 바다의 기슭에서 놀고있다.
106514190_bae200f463.jpg,아래 산이 내려다 보이는 절벽에 높이 서있는 등산객.
106514190_bae200f463.jpg,눈 덮인 풍경 위에 언덕에서 스키의 모습에 사람
106514190_bae200f463.jpg,스키어가 눈 덮인 산을 내려다보고 있습니다.
106514190_bae200f463.jpg,스키어가 아름다운 하얀 눈 덮힌 풍경을 내려다보고 있습니다.
106514190_bae200f463.jpg,스키어가 산 꼭대기에서 멈춘다.
1067180831_a59dc64344.jpg,검은 색과 흰색의 개가 낮은 마당에서 노란색과 보라색 물체를 잡으려고합니다.
1067180831_a59dc64344.jpg,흑인과 백인 개가 노란색 장난감을 따라 점프합니다.
1067180831_a59dc64344.jpg,흑인과 백인 개가 프리스비를 얻기 위해 점프합니다.
1067180831_a59dc64344.jpg,검은 색 개가 보라색과 녹색 장난감을 잡기 위해 뛰어 오르고 있습니다.
1067180831_a59dc64344.jpg,개가 장난감을 잡기 위해 점프합니다.
1067675215_7336a694d6.jpg,파란색 반바지를 입은 남자가 거리에 누워 있습니다.
1067675215_7336a694d6.jpg,파란색 반바지를 입은 남자가 주차장에 눕는다.
1067675215_7336a694d6.jpg,교통 체증 중 거리 중간에 내려 놓고 남자.
1067675215_7336a694d6.jpg,한 남자가 갈색 SUV와 노란색 픽업 트럭 사이의 주차장 매트 위에 문이 열려있다.
1067675215_7336a694d6.jpg,벗은 남자가 바쁜 거리 한가운데 누워있다.
1067790824_f3cc97239b.jpg,모래 지형에서 흰색과 검은 색 개와 갈색 개.
1067790824_f3cc97239b.jpg,털북숭이 개가 해변에서 도베르만을 쫓는다.
1067790824_f3cc97239b.jpg,한 개가 해변에서 다른 개를 쫓고 있습니다.
1067790824_f3cc97239b.jpg,두 마리의 큰 개가 모래 위를 달리고 있습니다.
1067790824_f3cc97239b.jpg,해변에서 서로 쫓는 두 개의 큰 개.
1072153132_53d2bb1b60.jpg,흑인과 백인 개가 공중에서 장난감을 잡는다.
1072153132_53d2bb1b60.jpg,개와 테니스 공.
1072153132_53d2bb1b60.jpg, 개가 던져진 물건을 잡기 위해 점프하고 있습니다.
1072153132_53d2bb1b60.jpg,잔디밭에서 테니스 공을 쫓는 개가 도약합니다.
1072153132_53d2bb1b60.jpg,잔디 필드에서 테니스 공을 잡으려고 점프 여러 가지 빛깔의 개.
107318069_e9f2ef32de.jpg,밤에 공기 풍선을보고 군중.
107318069_e9f2ef32de.jpg,뜨거운 공기 풍선 그룹이 밤에 불을 켰습니다.
107318069_e9f2ef32de.jpg,사람들은 공원에서 열기구를보고있다.
107318069_e9f2ef32de.jpg,뜨거운 공기 풍선을 보는 사람들.
107318069_e9f2ef32de.jpg,7 개의 큰 풍선이 밤에는 군중 근처에 줄 지어 있습니다.
1075716537_62105738b4.jpg,머리에 헬멧을 쓴 아이가 자전거를 탄다.
1075716537_62105738b4.jpg,작은 소년이 작은 먼지 자전거를 타고 언덕 아래로 자전거를 탄다.
1075716537_62105738b4.jpg,헬멧을 쓴 어린 소년이 도로에서 자전거를 탄다.
1075716537_62105738b4.jpg,어린 소년은 경주에서 자전거를 탄다.
1075716537_62105738b4.jpg,어린 소년은 BMX 경주에서 빠르게 페달을 밟습니다.
107582366_d86f2d3347.jpg,여덟 명으로 구성된 그룹이 밤에 테이블 주위에 모여 있습니다.
107582366_d86f2d3347.jpg,어둠 속에서 한 무리의 사람들이 모였습니다.
107582366_d86f2d3347.jpg,한 무리의 사람들이 밤에 현관의 외부 테이블 주위에 앉아 있습니다.
107582366_d86f2d3347.jpg,한 무리의 사람들이 밤에 야외에서 함께 앉아 있습니다.
107582366_d86f2d3347.jpg,어두운 방의 테이블에 앉아있는 사람들.
1075867198_27ca2e7efe.jpg,갈색 셔츠와 검은 색 반바지를 입은 남자가 검은 색 개 두 마리와 함께 해변에서 놀고있다.
1075867198_27ca2e7efe.jpg,두 마리의 검은 개가있는 반바지 입은 남자가 해변에서 장난감을 던지는 공을 들고있다.
1075867198_27ca2e7efe.jpg,해변에서 두 마리의 검은 개를 가지고 노는 남자
1075867198_27ca2e7efe.jpg,해변에 두 개를 가진 남자
1075867198_27ca2e7efe.jpg,두 개로 해변에서 남자입니다.
1075881101_d55c46bece.jpg,소년은 그의 얼굴에서 거품을 청소합니다.
1075881101_d55c46bece.jpg,비눗물로 뒤덮인 소년은 얼굴을 깨끗이 닦습니다.
1075881101_d55c46bece.jpg,소년은 거품으로 덮여 있습니다.
1075881101_d55c46bece.jpg,거품으로 덮인 어린이가 검은 색 풍선 램프에 올라 타고 있습니다.
1075881101_d55c46bece.jpg,비눗물로 뒤덮인 사람이 청소를 받고 있습니다.
1077546505_a4f6c4daa9.jpg,파란색 반바지를 입은 소년이 수영장으로 미끄러 져 내려갑니다.
